medicament;typ_medicament
ACETATE DE CYPROTERONE SANDOZ;Produit
ACETATE DE CYPROTERONE TEVA;Produit
ACETAZOLAMIDE;Substance
ACETIQUE GLACIAL (ACIDE);Substance
ACETYL SULFAFURAZOL;Substance
ACETYLCYSTEINE;Substance
ACETYLCYSTEINE MYLAN;Produit
ACETYLLEUCINE;Substance
ACETYLLEUCINE BIOGARAN;Produit
ACETYLLEUCINE MYLAN;Produit
ACETYLLEUCINE TEVA;Produit
ACETYLLEUCINE ZENTIVA;Produit
ACETYLSALICYLIQUE (ACIDE);Substance
ACICLOVIR;Substance
ACICLOVIR ALMUS;Produit
ACICLOVIR ARROW;Produit
ACICLOVIR ARROW LAB;Produit
ACICLOVIR BGR;Produit
ACICLOVIR BIOGARAN;Produit
ACICLOVIR CRISTERS;Produit
ACICLOVIR EG;Produit
ACICLOVIR EVOLUGEN;Produit
ACICLOVIR MYLAN;Produit
ACICLOVIR RANBAXY;Produit
ACICLOVIR RATIOPHARM;Produit
ACICLOVIR RPG;Produit
ACICLOVIR SANDOZ;Produit
ACICLOVIR TEVA;Produit
ACICLOVIR ZENTIVA;Produit
ACICLOVIR ZYDUS;Produit
ACIDE ALENDRONIQUE ACTAVIS;Produit
ACIDE ALENDRONIQUE ALTER;Produit
ACIDE ALENDRONIQUE ARROW;Produit
ACIDE ALENDRONIQUE ARROW LAB;Produit
ACIDE ALENDRONIQUE BIOGARAN;Produit
ACIDE ALENDRONIQUE CHOLECALCIFEROL (VITAMINE D3) CRISTERS;Produit
ACIDE ALENDRONIQUE CHOLECALCIFEROL (VITAMINE D3) EG;Produit
ACIDE ALENDRONIQUE CHOLECALCIFEROL (VITAMINE D3) ZENTIVA;Produit
ACIDE ALENDRONIQUE CRISTERS;Produit
ACIDE ALENDRONIQUE EG;Produit
ACIDE ALENDRONIQUE EVOLUGEN;Produit
ACIDE ALENDRONIQUE MYLAN;Produit
ACIDE ALENDRONIQUE PHR LAB;Produit
ACIDE ALENDRONIQUE RANBAXY;Produit
ACIDE ALENDRONIQUE RATIOPHARM;Produit
ACIDE ALENDRONIQUE SANDOZ;Produit
ACIDE ALENDRONIQUE TEVA;Produit
ACIDE ALENDRONIQUE TEVA SANTE;Produit
ACIDE ALENDRONIQUE VITAMINE D3 ARROW;Produit
ACIDE ALENDRONIQUE VITAMINE D3 BGR;Produit
ACIDE ALENDRONIQUE VITD3 SANDOZ;Produit
ACIDE ALENDRONIQUE ZYDUS;Produit
ACIDE ALENDRONIQUE/VITAMINE D3 TEVA SANTE;Produit
ACIDE FOLIQUE ARROW;Produit
ACIDE FOLIQUE CCD;Produit
ACIDE FOLIQUE MYLAN;Produit
ACIDE FUSIDIQUE ARROW;Produit
ACIDE FUSIDIQUE BGR;Produit
ACIDE FUSIDIQUE BIOGARAN;Produit
ACIDE FUSIDIQUE EG;Produit
ACIDE FUSIDIQUE MYLAN;Produit
ACIDE FUSIDIQUE RATIOPHARM;Produit
ACIDE FUSIDIQUE SANDOZ;Produit
ACIDE IBANDRONIQUE, SEL MONOSODIQUE, MONOHYDRATE;Substance
ACIDE TIAPROFENIQUE ARROW;Produit
ACIDE TIAPROFENIQUE EG;Produit
ACIDE TIAPROFENIQUE TEVA;Produit
ACIDE TIAPROFENIQUE ZENTIVA;Produit
ACIDE URSODESOXYCHOLIQUE BIOGARAN;Produit
ACIDE URSODESOXYCHOLIQUE MYLAN;Produit
ACIDE URSODESOXYCHOLIQUE TEVA;Produit
ACIDE ZOLEDRONIQUE BIOGARAN;Produit
ACIDE ZOLEDRONIQUE FRESENIUS KABI;Produit
ACIDE ZOLEDRONIQUE HOSPIRA;Produit
ACIDE ZOLEDRONIQUE MONOHYDRATE;Substance
ACIDE ZOLEDRONIQUE MYLAN;Produit
ACIDE ZOLEDRONIQUE SANDOZ;Produit
ACIDE ZOLEDRONIQUE TEVA PHARMA;Produit
ACIDE ZOLEDRONIQUE ZENTIVA LAB;Produit
ACITRETINE;Substance
ACLASTA;Produit
ACT HIB;Produit
ACTIQ;Produit
ACTISKENAN;Produit
ACTIVELLE;Produit
ACTONEL;Produit
ACTONELCOMBI;Produit
ACTRAPID;Produit
ACUILIX;Produit
ACUITEL;Produit
ACULAR;Produit
ACUPAN;Produit
ADALATE;Produit
ADALIMUMAB (MAMMIFERE/HAMSTER/CHO);Substance
ADANCOR;Produit
ADAPALENE;Substance
ADAPALENE TEVA;Produit
ADAPALENE ZENTIVA;Produit
ADEFOVIR DIPIVOXIL;Substance
ADENURIC;Produit
ADEPAL;Produit
ADIAZINE;Produit
ADOPORT;Produit
ADRENALINE;Substance
ADRENALINE (TARTRATE D');Substance
ADRIGYL;Produit
ADROVANCE;Produit
ADVAGRAF;Produit
ADVIL;Produit
ADVILMED;Produit
AERIUS;Produit
AFATINIB (DIMALEATE D');Substance
AFINITOR;Produit
AFLIBERCEPT (MAMMIFERE/HAMSTER/CELLULES CHO);Substance
AGOMELATINE;Substance
AGRIPPAL;Produit
AGYRAX;Produit
AIROMIR;Produit
AKINETON;Produit
AKYNZEO;Produit
ALANINE;Substance
ALBENDAZOLE;Substance
ALCOOL BENZYLIQUE;Substance
ALDACTAZINE;Produit
ALDACTONE;Produit
ALDALIX;Produit
ALDARA;Produit
ALDOMET;Produit
ALECENSA;Produit
ALECTINIB (CHLORHYDRATE D');Substance
ALENDRONATE MONOSODIQUE MONOHYDRATE;Substance
ALENDRONATE TEVA;Produit
ALEPSAL;Produit
ALEVETABS;Produit
ALFACALCIDOL;Substance
ALFACALCIDOL THERAMEX;Produit
ALFATIL;Produit
ALFUZOSINE (CHLORHYDRATE D');Substance
ALFUZOSINE BIOGARAN;Produit
ALFUZOSINE CRISTERS;Produit
ALFUZOSINE EG;Produit
ALFUZOSINE EVOLUGEN;Produit
ALFUZOSINE MYLAN;Produit
ALFUZOSINE RANBAXY;Produit
ALFUZOSINE RPG;Produit
ALFUZOSINE SANDOZ;Produit
ALFUZOSINE TEVA;Produit
ALFUZOSINE TEVA SANTE;Produit
ALFUZOSINE ZENTIVA;Produit
ALFUZOSINE ZYDUS;Produit
ALGINATE DE SODIUM BICARBONATE DE SODIUM ARROW;Produit
ALGINIQUE (ACIDE);Substance
ALGISEDAL;Produit
ALGODOL;Produit
ALIMEMAZINE (TARTRATE D');Substance
ALIROCUMAB (MAMMIFERE/HAMSTER/CELLULES CHO);Substance
ALISKIRENE (HEMIFUMARATE D');Substance
ALITRETINOINE;Substance
ALIZAPRIDE (CHLORHYDRATE D');Substance
ALKERAN;Produit
ALKONATERM;Produit
ALLERGOCOMOD;Produit
ALLERGODIL;Produit
ALLOPURINOL;Substance
ALLOPURINOL ARROW;Produit
ALLOPURINOL BIOGARAN;Produit
ALLOPURINOL CRISTERS;Produit
ALLOPURINOL EG;Produit
ALLOPURINOL ISOMED;Produit
ALLOPURINOL MYLAN;Produit
ALLOPURINOL PHR LAB;Produit
ALLOPURINOL RANBAXY;Produit
ALLOPURINOL RATIOPHARM;Produit
ALLOPURINOL SANDOZ;Produit
ALLOPURINOL SET;Produit
ALLOPURINOL TEVA;Produit
ALLOPURINOL ZENTIVA;Produit
ALLOPURINOL ZYDUS;Produit
ALMIDE;Produit
ALMINOPROFENE;Substance
ALMOGRAN;Produit
ALMOTRIPTAN ARROW;Produit
ALMOTRIPTAN BIOGARAN;Produit
ALMOTRIPTAN EG;Produit
ALMOTRIPTAN MYLAN;Produit
ALMOTRIPTAN SANDOZ;Produit
ALMOTRIPTAN TEVA;Produit
ALMOTRIPTAN ZENTIVA;Produit
ALMOTRIPTAN ZYDUS;Produit
ALOPLASTINE;Produit
ALPHA-TOCOPHEROL;Substance
ALPHA-TOCOPHEROL (ACETATE D');Substance
ALPHAGAN;Produit
ALPRAZOLAM;Substance
ALPRAZOLAM ALPHARMA;Produit
ALPRAZOLAM ALTER;Produit
ALPRAZOLAM ARROW;Produit
ALPRAZOLAM BIOGARAN;Produit
ALPRAZOLAM CRISTERS;Produit
ALPRAZOLAM EG;Produit
ALPRAZOLAM EVOLUGEN;Produit
ALPRAZOLAM ISOMED;Produit
ALPRAZOLAM MYLAN;Produit
ALPRAZOLAM RPG;Produit
ALPRAZOLAM SANDOZ;Produit
ALPRAZOLAM TEVA;Produit
ALPRAZOLAM ZENTIVA;Produit
ALPRAZOLAM ZYDUS;Produit
ALPRESS;Produit
ALPROSTADIL;Substance
ALTEIS;Produit
ALTEISDUO;Produit
ALTIM;Produit
ALTIZIDE;Substance
ALTIZIDE SPIRONOLACTONE RPG;Produit
ALUMINIUM (OXYDE D') HYDRATE;Substance
ALUMINIUM (PHOSPHATE D');Substance
ALUMINIUM (PHOSPHATE D'), GEL DE;Substance
ALVERINE (CITRATE D');Substance
ALVESCO;Produit
ALYOSTAL;Produit
AMANTADINE (CHLORHYDRATE D');Substance
AMARANCE;Produit
AMAREL;Produit
AMBENONIUM (CHLORURE D');Substance
AMETYCINE;Produit
AMGEVITA;Produit
AMIFAMPRIDINE (PHOSPHATE D');Substance
AMIKACINE (SULFATE D');Substance
AMIKACINE MYLAN;Produit
AMILORIDE (CHLORHYDRATE D');Substance
AMILORIDE CHLORHYDRATE HYDROCHLOROTHIAZIDE RPG;Produit
AMILORIDE HYDROCHLOROTHIAZIDE TEVA;Produit
AMINOMIX;Produit
AMIODARONE (CHLORHYDRATE D');Substance
AMIODARONE ACTAVIS;Produit
AMIODARONE ALMUS;Produit
AMIODARONE ALTER;Produit
AMIODARONE ARROW;Produit
AMIODARONE BIOGARAN;Produit
AMIODARONE CRISTERS;Produit
AMIODARONE EG;Produit
AMIODARONE ISOMED;Produit
AMIODARONE MYLAN;Produit
AMIODARONE RANBAXY;Produit
AMIODARONE RATIOPHARM;Produit
AMIODARONE SANDOZ;Produit
AMIODARONE TEVA;Produit
AMIODARONE ZENTIVA;Produit
AMIODARONE ZYDUS;Produit
AMISULPRIDE;Substance
AMISULPRIDE ACTAVIS;Produit
AMISULPRIDE ARROW;Produit
AMISULPRIDE BIOGARAN;Produit
AMISULPRIDE CRISTERS;Produit
AMISULPRIDE EG;Produit
AMISULPRIDE MYLAN;Produit
AMISULPRIDE RATIOPHARM;Produit
AMISULPRIDE SANDOZ;Produit
AMISULPRIDE TEVA;Produit
AMISULPRIDE ZENTIVA;Produit
AMISULPRIDE ZYDUS;Produit
AMITRIPTYLINE (CHLORHYDRATE D');Substance
AMLODIPINE (BESILATE D');Substance
AMLODIPINE ALMUS;Produit
AMLODIPINE ALTER;Produit
AMLODIPINE ARROW;Produit
AMLODIPINE ARROW GENERIQUES;Produit
AMLODIPINE BIOGARAN;Produit
AMLODIPINE BOUCHARA RECORDATI;Produit
AMLODIPINE CRISTERS;Produit
AMLODIPINE EG;Produit
AMLODIPINE EVOLUGEN PHARMA;Produit
AMLODIPINE ISOMED;Produit
AMLODIPINE MYLAN;Produit
AMLODIPINE PFIZER;Produit
AMLODIPINE PHR LAB;Produit
AMLODIPINE RANBAXY;Produit
AMLODIPINE RATIOPHARM;Produit
AMLODIPINE SANDOZ;Produit
AMLODIPINE TEVA;Produit
AMLODIPINE ZENTIVA;Produit
AMLODIPINE ZYDUS;Produit
AMLODIPINE/VALSARTAN TEVA;Produit
AMLOR;Produit
AMMONIUM (FLUORURE D');Substance
AMMONIUM (MOLYBDATE D') TETRAHYDRATE;Substance
AMODEX;Produit
AMOROLFINE (CHLORHYDRATE D');Substance
AMOROLFINE ARROW;Produit
AMOROLFINE BGR;Produit
AMOROLFINE BIOGARAN;Produit
AMOROLFINE CRISTERS;Produit
AMOROLFINE EG;Produit
AMOROLFINE ISOMED;Produit
AMOROLFINE MYLAN;Produit
AMOROLFINE PIERRE FABRE;Produit
AMOROLFINE RANBAXY;Produit
AMOROLFINE RATIOPHARM;Produit
AMOROLFINE SANDOZ;Produit
AMOROLFINE TEVA;Produit
AMOROLFINE ZENTIVA;Produit
AMOROLFINE ZYDUS;Produit
AMOXAPINE;Substance
AMOXICILLINE ACIDE CLAVULANIQUE ALMUS;Produit
AMOXICILLINE ACIDE CLAVULANIQUE ARROW;Produit
AMOXICILLINE ACIDE CLAVULANIQUE BGR;Produit
AMOXICILLINE ACIDE CLAVULANIQUE BIOGARAN;Produit
AMOXICILLINE ACIDE CLAVULANIQUE CRISTERS;Produit
AMOXICILLINE ACIDE CLAVULANIQUE EG;Produit
AMOXICILLINE ACIDE CLAVULANIQUE EG LABO-LABORATOIRES EUROGENERICS;Produit
AMOXICILLINE ACIDE CLAVULANIQUE GLAXOSMITHKLINE;Produit
AMOXICILLINE ACIDE CLAVULANIQUE GSK;Produit
AMOXICILLINE ACIDE CLAVULANIQUE MYLAN;Produit
AMOXICILLINE ACIDE CLAVULANIQUE RANBAXY;Produit
AMOXICILLINE ACIDE CLAVULANIQUE SANDOZ;Produit
AMOXICILLINE ACIDE CLAVULANIQUE SUN;Produit
AMOXICILLINE ACIDE CLAVULANIQUE TEVA;Produit
AMOXICILLINE ACIDE CLAVULANIQUE ZENTIVA;Produit
AMOXICILLINE ACIDE CLAVULANIQUE ZENTIVA K.S;Produit
AMOXICILLINE ACIDE CLAVULANIQUE ZENTIVA LAB;Produit
AMOXICILLINE ACIDE CLAVULANIQUE ZYDUS;Produit
AMOXICILLINE ACIDE CLAVULANIQUE ZYDUS France;Produit
AMOXICILLINE ALMUS;Produit
AMOXICILLINE ALPHARMA;Produit
AMOXICILLINE ARROW;Produit
AMOXICILLINE ARROW LAB;Produit
AMOXICILLINE BGR;Produit
AMOXICILLINE BIOGARAN;Produit
AMOXICILLINE CRISTERS;Produit
AMOXICILLINE EG;Produit
AMOXICILLINE EG LABO;Produit
AMOXICILLINE EVOLUGEN;Produit
AMOXICILLINE MYLAN;Produit
AMOXICILLINE MYLAN PHARMA;Produit
AMOXICILLINE RATIOPHARM;Produit
AMOXICILLINE REF;Produit
AMOXICILLINE RPG;Produit
AMOXICILLINE SANDOZ;Produit
AMOXICILLINE SODIQUE;Substance
AMOXICILLINE SUN;Produit
AMOXICILLINE TEVA;Produit
AMOXICILLINE TEVA SANTE;Produit
AMOXICILLINE TRIHYDRATEE;Substance
AMOXICILLINE ZENTIVA;Produit
AMOXICILLINE ZENTIVA LAB;Produit
AMOXICILLINE ZYDUS;Produit
AMOXICILLINE ZYDUS France;Produit
AMOXICILLINE/ACIDE CLAVULANIQUE ACTAVIS;Produit
AMOXICILLINE/ACIDE CLAVULANIQUE ZENTIVA;Produit
AMOXICILLINE/ACIDE CLAVULANIQUE ZYDUS France;Produit
AMPHOTERICINE B;Substance
AMPICILLINE SODIQUE;Substance
AMYCOR;Produit
ANAFRANIL;Produit
ANAGRELIDE (CHLORHYDRATE D') MONOHYDRATE;Substance
ANAGRELIDE BIOGARAN;Produit
ANAGRELIDE EG;Produit
ANAGRELIDE MYLAN;Produit
ANAGRELIDE TEVA;Produit
ANAHELP;Produit
ANAKINRA (BACTERIE/ESCHERICHIA COLI);Substance
ANANDRON;Produit
ANAPEN;Produit
ANASTROZOLE;Substance
ANASTROZOLE ACCORD;Produit
ANASTROZOLE ARROW;Produit
ANASTROZOLE BIOGARAN;Produit
ANASTROZOLE CRISTERS;Produit
ANASTROZOLE EG;Produit
ANASTROZOLE EVOLUGEN;Produit
ANASTROZOLE GNR;Produit
ANASTROZOLE ISOMED;Produit
ANASTROZOLE MYLAN;Produit
ANASTROZOLE PHR LAB;Produit
ANASTROZOLE RANBAXY;Produit
ANASTROZOLE RATIOPHARM;Produit
ANASTROZOLE TEVA;Produit
ANASTROZOLE ZENTIVA;Produit
ANASTROZOLE ZYDUS;Produit
ANATOXINE DIPHTERIQUE (BACTERIE/CORYNEBACTERIUM DIPHTERIAE);Substance
ANATOXINE TETANIQUE (BACTERIE/CLOSTRIDIUM TETANI);Substance
ANAUSIN METOCLOPRAMIDE;Produit
ANCOTIL;Produit
ANDRACTIM;Produit
ANDROCUR;Produit
ANDROSTANOLONE;Substance
ANDROTARDYL;Produit
ANESDERM;Produit
ANETHOLTRITHIONE;Substance
ANORO ELLIPTA;Produit
ANSATIPINE;Produit
ANTADYS;Produit
ANTALNOX;Produit
ANTARENE;Produit
ANTARENE CODEINE;Produit
ANTIBIO SYNALAR;Produit
ANTIGENE DE BORDETELLA PERTUSSIS : ANATOXINE (BACTERIE/BORDETELLA PERTUSSIS);Substance
ANTIGENE DE BORDETELLA PERTUSSIS : HEMAGGLUTININE FILAMENTEUSE (BACTERIE/BORDETELLA PERTUSSIS);Substance
ANTIGENE DE BORDETELLA PERTUSSIS : PERTACTINE;Substance
ANTIGENE DE SURFACE DE L'HEPATITE B RECOMBINANT (LEVURE/HANSENULA POLYMORPHA);Substance
ANTIGENE PROTEIQUE HBS RECOMBINANT (LEVURE/SACCHAROMYCES CEREVISIAE);Substance
ANTIGENES COQUELUCHEUX : FIMBRIA- 2 ET FIMBRIA-3 (BACTERIE/BORDETELLA PERTUSSIS);Substance
ANTIGENES DE SURFACE DE VIRUS DE LA GRIPPE, INACTIVE, SOUCHE A/BRISBANE/02/2018 (H1N1)PDM09 - SOUCHE ANALOGUE (A/BRISBANE/02/2018, IVR-190) (OISEAU/POULE/OEUF);Substance
ANTIGENES DE SURFACE DE VIRUS DE LA GRIPPE, INACTIVE, SOUCHE A/KANSAS/14/2017 (H3N2) - SOUCHE ANALOGUE (A/KANSAS/14/2017, NYMC X327) (OISEAU/POULE/OEUF);Substance
ANTIGENES DE SURFACE DE VIRUS DE LA GRIPPE, INACTIVE, SOUCHE B/COLORADO/06/2017 - SOUCHE ANALOGUE  (B/MARYLAND/15/2016, NYMC BX-69A) (OISEAU/POULE/OEUF);Substance
ANTIGENES DE SURFACE DE VIRUS DE LA GRIPPE, INACTIVE, SOUCHE B/PHUKET/3073/2013 - SOUCHE ANALOGUE (B/PHUKET/3073/2013, SOUCHE SAUVAGE) (OISEAU/POULE/OEUF);Substance
ANTIGENES DE SURFACE DE VIRUS DE LA GRIPPE, SOUCHE B/BRISBANE/60/2008 - SOUCHE ANALOGUE (B/BRISBANE/60/2008, SOUCHE SAUVAGE) (OISEAU/POULE/OEUF);Substance
ANTIGENES DE SURFACE DU VIRUS DE L'HEPATITE B RECOMBINANT (PROTEINES S ET PRE S2) (MAMMIFERE/HAMSTER/CELLULES CHO);Substance
ANTIGENES DE SURFACE DU VIRUS DE LA GRIPPE, SOUCHE A/HONG KONG/4801/2014 (H3N2) - SOUCHE ANALOGUE (A/HONG KONG/4801/2014, NYMC X-263B) (OISEAU/POULE/OEUF);Substance
ANTIGENES DE SURFACE DU VIRUS DE LA GRIPPE, SOUCHE A/MICHIGAN/45/2015 (H1N1)PDM09 - SOUCHE ANALOGUE (A/SINGAPORE/GP1908/2015, IVR-180A) (OISEAU/POULE/OEUF);Substance
ANTIGONE;Produit
ANXYREX;Produit
AOTAL;Produit
APAROXAL;Produit
APIDRA;Produit
APIXABAN;Substance
APOKINON;Produit
APOMORPHINE (CHLORHYDRATE D');Substance
APRACLONIDINE (CHLORHYDRATE D');Substance
APRANAX;Produit
APREMILAST;Substance
APREPITANT;Substance
APROVEL;Produit
APSOR;Produit
APTIVUS;Produit
APURONE;Produit
AQUAREST;Produit
ARACYTINE;Produit
ARANESP;Produit
ARAVA;Produit
ARCOXIA;Produit
ARESTAL;Produit
ARGININE;Substance
ARGININE (CHLORHYDRATE D');Substance
ARGININE VEYRON;Produit
ARICEPT;Produit
ARIMIDEX;Produit
ARIPIPRAZOLE;Substance
ARIPIPRAZOLE ACCORD;Produit
ARIPIPRAZOLE ARROW;Produit
ARIPIPRAZOLE BGR;Produit
ARIPIPRAZOLE CRISTERS;Produit
ARIPIPRAZOLE EG;Produit
ARIPIPRAZOLE KRKA;Produit
ARIPIPRAZOLE MYLAN PHARMA;Produit
ARIPIPRAZOLE SANDOZ;Produit
ARIPIPRAZOLE TEVA;Produit
ARIPIPRAZOLE ZENTIVA;Produit
ARIPIPRAZOLE ZYDUS;Produit
ARIXTRA;Produit
AROLAC;Produit
AROMASINE;Produit
ART 50;Produit
ARTANE;Produit
ARTELAC;Produit
ARTEMETHER;Substance
ARTENIMOL;Substance
ARTEX;Produit
ARTHROCINE;Produit
ARTIREM;Produit
ARTISIAL;Produit
ARTOTEC;Produit
ASASANTINE;Produit
ASCABIOL;Produit
ASCOFER;Produit
ASCORBIQUE (ACIDE);Substance
ASMABEC;Produit
ASMANEX TWISTHALER;Produit
ASMASAL;Produit
ASMELOR NOVOLIZER;Produit
ASPARTIQUE (ACIDE);Substance
ASPEGIC;Produit
ASPIRINE PROTECT;Produit
ASPIRINE UPSA;Produit
ATACAND;Produit
ATARAX;Produit
ATAZANAVIR (SULFATE D');Substance
ATENOLOL;Substance
ATENOLOL ACCORD HEALTHCARE;Produit
ATENOLOL ACTAVIS;Produit
ATENOLOL ARROW;Produit
ATENOLOL BIOGARAN;Produit
ATENOLOL EG;Produit
ATENOLOL EVOLUGEN;Produit
ATENOLOL MYLAN;Produit
ATENOLOL RPG;Produit
ATENOLOL SANDOZ;Produit
ATENOLOL TEVA;Produit
ATENOLOL WINTHROP;Produit
ATENOLOL ZENTIVA;Produit
ATENOLOL ZYDUS;Produit
ATENOLOL/NIFEDIPINE BIOGARAN;Produit
ATENOLOL/NIFEDIPINE MYLAN;Produit
ATORVASTATINE ACCORD;Produit
ATORVASTATINE ALMUS;Produit
ATORVASTATINE ALTER;Produit
ATORVASTATINE ARROW;Produit
ATORVASTATINE ARROW GENERIQUES;Produit
ATORVASTATINE ARROW LAB;Produit
ATORVASTATINE BGR;Produit
ATORVASTATINE BLUEFISH;Produit
ATORVASTATINE CALCIQUE;Substance
ATORVASTATINE CALCIQUE TRIHYDRATEE;Substance
ATORVASTATINE CRISTERS;Produit
ATORVASTATINE EG;Produit
ATORVASTATINE EG LABO;Produit
ATORVASTATINE EVOLUGEN;Produit
ATORVASTATINE EVOLUGEN PHARMA;Produit
ATORVASTATINE GNR;Produit
ATORVASTATINE ISOMED;Produit
ATORVASTATINE KRKA;Produit
ATORVASTATINE MYLAN;Produit
ATORVASTATINE MYLAN PHARMA;Produit
ATORVASTATINE PFIZER;Produit
ATORVASTATINE PHR LAB;Produit
ATORVASTATINE RANBAXY;Produit
ATORVASTATINE RANBAXY PHARMACIE GENERIQUES;Produit
ATORVASTATINE RATIO;Produit
ATORVASTATINE RPG;Produit
ATORVASTATINE SANDOZ;Produit
ATORVASTATINE TEVA SANTE;Produit
ATORVASTATINE ZENTIVA;Produit
ATORVASTATINE ZENTIVA LAB;Produit
ATORVASTATINE ZYDUS FRANCE;Produit
ATOVAQUONE;Substance
ATOVAQUONE PROGUANIL ALFASIGMA;Produit
ATOVAQUONE PROGUANIL BIOGARAN;Produit
ATOVAQUONE PROGUANIL EG;Produit
ATOVAQUONE PROGUANIL MYLAN;Produit
ATOVAQUONE PROGUANIL SANDOZ;Produit
ATOVAQUONE PROGUANIL ZENTIVA;Produit
ATRIPLA;Produit
ATROPINE (SULFATE D');Substance
ATROPINE ALCON;Produit
ATROVENT;Produit
ATTAPULGITE DE MORMOIRON;Substance
ATURGYL;Produit
AUBAGIO;Produit
AUGMENTIN;Produit
AURICULARUM;Produit
AUXITRANS;Produit
AVADENE;Produit
AVAMYS;Produit
AVAXIM;Produit
AVLOCARDYL;Produit
AVOCAT (HUILE D') (FRACTION INSAPONIFIABLE D');Substance
AVODART;Produit
AVONEX;Produit
AXELER;Produit
AXEPIM;Produit
AXITINIB;Substance
AZACTAM;Produit
AZADOSE;Produit
AZANTAC;Produit
AZARGA;Produit
AZATHIOPRINE;Substance
AZATHIOPRINE EG;Produit
AZATHIOPRINE MYLAN;Produit
AZATHIOPRINE TEVA;Produit
AZELASTINE (CHLORHYDRATE D');Substance
AZILECT;Produit
AZITHROMYCINE ARROW;Produit
AZITHROMYCINE BIOGARAN;Produit
AZITHROMYCINE CRISTERS;Produit
AZITHROMYCINE DIHYDRATEE;Substance
AZITHROMYCINE EG;Produit
AZITHROMYCINE EVOLUGEN;Produit
AZITHROMYCINE KRKA;Produit
AZITHROMYCINE MONOHYDRATEE;Substance
AZITHROMYCINE MYLAN;Produit
AZITHROMYCINE PFIZER;Produit
AZITHROMYCINE PHR LAB;Produit
AZITHROMYCINE RANBAXY;Produit
AZITHROMYCINE RATIOPHARM;Produit
AZITHROMYCINE SANDOZ;Produit
AZITHROMYCINE TEVA;Produit
AZITHROMYCINE ZENTIVA;Produit
AZITHROMYCINE ZYDUS;Produit
AZOPT;Produit
AZTREONAM;Substance
AZYTER;Produit
BACICOLINE;Produit
BACITRACINE;Substance
BACLOFENE;Substance
BACLOFENE ZENTIVA;Produit
BACTERIE B C G LYOPHILISE;Substance
BACTRIM;Produit
BACTROBAN;Produit
BAMBUTEROL (CHLORHYDRATE DE);Substance
BAMIFYLLINE (CHLORHYDRATE DE);Substance
BARACLUDE;Produit
BARICITINIB;Substance
BARYUM (SULFATE DE);Substance
BASDENE;Produit
BAYPRESS;Produit
BCG (BACILLES DE CALMETTE-GUERIN), MYCOBACTERIUM BOVIS, SOUCHE DANOISE 1331, VIVANTE ATTENUEE;Substance
BCG MEDAC;Produit
BCG POUR IMMUNOTHERAPIE - SOUCHE CONNAUGHT (BACTERIE/MYCOBACTERIUM BOVIS);Substance
BEAGYNE;Produit
BECILAN;Produit
BECLO RHINO;Produit
BECLOJET;Produit
BECLOMETASONE (DIPROPIONATE DE);Substance
BECLOMETASONE (DIPROPIONATE DE) MONOHYDRATE;Substance
BECLOMETASONE CHIESI;Produit
BECLOMETASONE TEVA;Produit
BECLOSPIN;Produit
BECLOSPRAY;Produit
BECONASE;Produit
BECOTIDE;Produit
BEFIZAL;Produit
BEFLAVINE;Produit
